"Country Name","Country Code","Indicator Name","Indicator Code",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Cereal yield (kg per hectare)",AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Cereal yield (kg per hectare)",AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Cereal yield (kg per hectare)",AG.YLD.CREL.KG,,1115.135,1078.967,985.8459999999999,1082.838,1098.853,1012.3309999999999,1224.516,1287.523,1310.401,1105.098,976.176,1006.857,1279.592,1301.915,1316.392,1362.404,1224.026,1291.8629999999998,1323.7,1349.014,1338.261,1330.2379999999998,1355.606,1334.114,1331.69,1314.018,1359.776,1285.714,1237.555,1200.6209999999999,1160.0819999999999,1097.778,1135.596,1140.37,1258.429,1203.718,1349.346,1389.196,1286.087,806.318,1006.686,1669.7939999999999,1458.049,1334.833,1790.429,1551.69,1915.26,1455.416,2040.727,2011.141,1659.9360000000001,2029.59,2048.536,,
Angola,AGO,"Cereal yield (kg per hectare)",AG.YLD.CREL.KG,,828.006,830.275,798.45,875.7760000000001,932.007,824.302,814.616,805.74,898.8770000000001,911.258,805.7439999999999,780.269,764.036,712.571,773.925,775.482,603.086,667.135,509.168,617.8979999999999,451.10600000000005,450.64399999999995,484.613,466.02799999999996,449.111,379.755,381.17199999999997,332.406,277.393,320.943,417.48199999999997,397.019,267.851,298.429,402.26,653.308,567.399,701.641,620.375,564.374,585.424,626.938,646.09,491.456,583.257,445.909,464.259,652.745,571.413,629.3109999999999,662.3689999999999,552.176,814.774,,
Albania,ALB,"Cereal yield (kg per hectare)",AG.YLD.CREL.KG,,845.205,941.799,982.338,1023.34,1037.295,1318.6280000000002,1464.142,1553.737,1639.841,1646.131,1753.619,1768.7040000000002,1842.952,1934.4990000000003,2028.9189999999999,2445.078,2550.14,2620.225,2634.773,2364.027,2500.553,2715.165,3045.9610000000002,2966.324,2900.583,2990.28,2965.597,2875.014,2961.737,2794.393,2071.859,2269.282,2685.048,2460.911,2841.457,2450.853,2833.304,2872.114,2798.088,3175.084,3030.76,3291.8779999999997,3185.731,3466.296,3462.125,3602.612,3728.3779999999997,4081.154,4315.321,4761.839,4750.71,4883.754,4605.997,,
"Arab World",ARB,"Cereal yield (kg per hectare)",AG.YLD.CREL.KG,,795.7120223528452,1106.0873595116952,1040.1063292230099,976.8263556184312,1012.9569698968264,881.7091598954621,1008.4139255541742,1194.5370247533306,1085.365464035304,1001.9303347375971,1117.8276141179244,1207.279217478967,924.0230282253367,1081.6092853246532,1073.7698020818807,1138.3582912830134,904.7577838705456,1067.3972069330118,989.3845328419818,1156.7322159995283,1072.6029471564748,1106.7985736687774,1010.1060860461829,982.4625724042799,1156.0415583124557,1278.6838698690765,1183.2644197335167,1417.6227055703764,1236.142018301136,1418.075478228183,1530.7486032096883,1348.935507878065,1397.0142562977685,1475.9529525019407,1360.4136768457192,1638.0191236540354,1359.4314127013483,1477.2515325112029,1465.8343610698555,1437.8105582658895,1646.7872451105675,1765.4637599611121,1800.5217231397344,1931.938758394919,1521.1001051047133,1915.3837166200392,1680.2770052715741,1702.7318766974927,1962.4664180498332,1732.2436902197162,1852.589854607116,2040.1532751380876,1950.3154046487236,,
"United Arab Emirates",ARE,"Cereal yield (kg per hectare)",AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,1166.667,1466.667,2242.857,2409.574,2018.667,2000,1417.778,1613.445,1340.206,1185.6709999999998,1106.3290000000002,808.321,1924.679,2216.487,1594.053,2315.368,858.586,1855.3790000000001,1741.935,1194.831,5137.931,7200,4156.862999999999,6500,3533.333,3411.7650000000003,2500,2000,2000,2600,55019.002,54613.95,66589.604,74205.554,73325.041,73106.987,72442.99799999999,,
Argentina,ARG,"Cereal yield (kg per hectare)",AG.YLD.CREL.KG,,1410.654,1604.925,1511.243,1695.3619999999999,1403.1709999999998,1557.048,1606.403,1313.349,1554.675,1775.2930000000001,1783.52,1609.47,2041.355,2046.187,1955.917,1907.1509999999998,2134.904,2424.334,2252.176,1874.0669999999998,2424.998,2442.816,2330.098,2581.507,2439.537,2582.208,2382.62,2527.8869999999997,2129.3720000000003,2232.2490000000003,2666.111,3057.33,2846.504,2816.097,2799.777,2754.31,3308.1980000000003,3692.19,3351.5269999999996,3453.79,3206.835,3240.788,3672.5730000000003,3668.389,4231.039,3702.2879999999996,4352.267,3906.889,3814.3089999999997,4956.7919999999995,4504.543,4358.644,4724.72,,
Armenia,ARM,"Cereal yield (kg per hectare)",AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1842.812,1688.861,1439.931,1859.009,1877.179,1365.825,1768.384,1802.444,1410.218,1902.6919999999998,2229.054,1589.099,2323.356,1974.994,1364.25,2592.386,2406.882,2250.275,2068.236,2741.598,2648.991,3107.6,,
"American Samoa",ASM,"Cereal yield (kg per hectare)",AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
