 Country Name , Country Code , Indicator Name , Indicator Code ,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
 Aruba , ABW , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,,,,,,,,,,,,,,,,,,,,,,,,,,12040000,40430000,20910000,19290000,24330000,29980000,24970000,29980000,24860000,18260000,25800000,19530000,25070000,11260000,-7380000,11500000,-1700000,10490000,76220000,-11320000,,,,,,,,,
 Andorra , AND , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Afghanistan , AFG , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,17180000,34670000,16930000,36670000,46170000,53930000,50360000,40600000,29240000,27250000,27610000,44440000,55180000,55950000,49180000,69450000,71430000,85610000,82520000,105470000,33010000,23910000,9330000,13280000,6500000,16320000,1910000,45280000,72360000,148320000,121720000,507530000,204900000,223800000,226420000,212530000,169630000,230750000,164200000,142860000,136010000,410360000,1309770000,1593670000,2311490000,2837620000,2961670000,4964720000,4875670000,6235400000,6426500000,6884850000,6725930000,5265950000
 Angola , AGO , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,-50000,23550000,,30000,,1110000,2860000,18180000,10000,-110000,-30000,,90000,160000,370000,4760000,17480000,47500000,46870000,47060000,52440000,60220000,59070000,73880000,93410000,90490000,130250000,134430000,157030000,167060000,265770000,277080000,343590000,289390000,447070000,416420000,459310000,354660000,335270000,387540000,302210000,282730000,414030000,493730000,1144460000,414570000,163520000,247670000,368820000,238710000,238230000,194250000,242350000,287610000
 Albania , ALB , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5560000,10340000,11050000,331950000,409640000,270680000,163100000,180600000,226550000,168110000,268620000,488150000,317850000,268530000,307420000,354500000,299950000,319140000,321780000,307190000,363270000,356960000,340700000,350750000,341620000,298380000
 Arab World , ARB , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,881990000,973930000,929090000,858610000,831420000,666060000,688240000,454270000,499770000,492900000,713500000,730710000,875480000,2178270000,3878840000,5709640000,5933510000,7005860000,6887340000,8048680000,9275860000,8874490000,7487000000,6476560000,6034280000,6738070000,6402140000,6785030000,5307540000,5127710000,12754480000,11535140000,8302710000,7332630000,7668620000,6016210000,6366900000,5882840000,6471830000,5507660000,5062220000,5466790000,5313100000,9081040000,11732310000,29275890000,17553140000,19057810000,22758740000,14360920000,12367300000,13007980000,14953280000,22020460000
 United Arab Emirates , ARE , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,410000,540000,430000,390000,580000,20000,1300000,1570000,1130000,870000,5290000,5610000,4680000,760000,590000,4050000,1040000,34860000,1690000,7030000,4080000,330000,4690000,4310000,3320000,4050000,34180000,114680000,-11970000,-5930000,3540000,-7660000,-9730000,-10170000,-8030000,5410000,6710000,1740000,3460000,3330000,3200000,2370000,3830000,4960000,5360000,,,,,,,,,
 Argentina , ARG , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,28580000,29180000,39800000,37800000,17220000,-62200000,-9690000,21690000,40720000,25480000,9340000,27710000,23320000,45660000,35920000,26310000,30570000,27920000,28160000,42980000,19480000,43560000,29740000,47000000,48490000,39020000,85860000,99330000,152600000,210700000,168740000,273680000,263880000,226240000,146220000,142560000,130780000,102010000,79060000,76560000,52490000,145560000,81520000,106640000,91340000,96180000,115080000,101340000,130580000,126730000,121120000,86960000,178920000,30150000
 Armenia , ARM , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720000,22450000,109460000,191270000,217590000,292160000,166100000,194200000,209180000,215890000,211630000,299590000,253800000,253410000,170340000,215510000,350020000,302640000,525980000,342820000,400100000,272770000,292760000
 American Samoa , ASM , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Antigua and Barbuda , ATG , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,,,,,,,,,,,,,,10000,3000000,2060000,3110000,5380000,3600000,3280000,5500000,9040000,4950000,3370000,2360000,2950000,5050000,5560000,8450000,4340000,4610000,7230000,4670000,3000000,4160000,2270000,3870000,4300000,9880000,10740000,9790000,8540000,13470000,6160000,1630000,7790000,3280000,7380000,8750000,5640000,19070000,15330000,2350000,1560000
 Australia , AUS , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Austria , AUT , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Azerbaijan , AZE , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000,7430000,23870000,149040000,119540000,96360000,184060000,120250000,169420000,139120000,229760000,349310000,300700000,175760000,216510000,206390000,225210000,235150000,231790000,159120000,286430000,284900000,-63130000
 Burundi , BDI , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,7530000,7190000,11070000,6160000,8090000,4860000,8930000,10410000,12970000,14930000,17670000,21680000,25760000,26860000,37350000,47470000,43800000,47640000,73910000,94340000,115950000,120650000,125400000,137610000,137670000,137160000,191310000,196620000,200500000,206240000,262550000,256400000,309280000,216950000,311110000,286950000,110520000,56400000,68750000,74920000,93120000,139140000,171990000,227760000,364040000,363960000,430890000,479000000,522240000,561370000,629940000,574850000,522740000,546270000
 Belgium , BEL , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Benin , BEN , Net official development assistance and official aid received (current US$) , DT.ODA.ALLD.CD ,20000,1480000,3750000,4260000,18070000,17880000,14920000,16270000,13140000,13140000,14740000,28980000,20040000,26480000,33070000,54110000,50750000,48820000,60340000,84610000,88230000,81240000,79700000,84930000,75030000,93910000,134670000,133700000,157970000,267870000,266880000,265660000,269040000,287260000,255880000,280060000,287790000,220650000,205150000,210880000,243450000,277890000,219040000,299820000,393800000,346930000,399320000,474370000,641480000,682050000,689110000,690290000,511330000,652610000
