Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.06677055,29.65608025,29.05586052,26.69796944,26.7562809,26.30441093,31.68346977,30.90319061,33.92612839,35.24048996,35.36231995,37.3517189,38.73762131,37.76113129,,,
Andorra,AND,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,,,,,,,,,,0.75747,0.91247,0.94307,1.08932,1.0201,1.07415,1.21528,1.34963,1.73548,1.86999,,,1.73378,,,,2.20878,1.75979,,,2.29743,,,,,,,,,,,,,1.279420018,1.293120027,,,,,3.91140008,,3.743940115,,,,
Angola,AGO,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60693,0.59082,0.6181,0.62555,0.58608,,,,,,0.65358,0.59570998,,,0.863610029,3.193069935,2.396670103,2.962680101,2.898269892,,,,,7.49503994,,,,
Albania,ALB,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,,,,,,,,,,,13.91802,14.67738,,,,,,5.54796,,,5.0959,,5.89267,6.50102,6.91294,7.03948,7.07632,7.41614,7.75277,7.88863,8.24736,8.48633,10.06516,9.49232,9.09173,9.79477,11.30863,12.03396,13.08852959,13.76231956,14.01383018,14.73867989,15.8126297,20.00498009,24.52325058,28.78627014,31.79338074,32.32130814,33.10620117,43.56153107,47.74272156,55.5009613,58.52988815,,
Arab World,ARB,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,,,,,,,,,,5.83382988,5.82404995,6.109109879,6.479750156,6.88932991,7.435200214,8.089079857,8.731929779,9.170499802,9.213890076,9.54957962,10.11322021,10.47920036,10.65168953,10.9338398,10.9386301,11.26218033,11.33473015,11.41423988,11.09405041,11.14892006,10.88624954,11.56606007,12.51336002,13.15968037,14.0307703,15.04125977,15.95238972,16.73743057,18.11322021,18.24913979,18.88586044,19.63330078,19.50867081,20.61352921,21.62900925,22.16217041,22.8302803,23.54254913,24.22407913,24.94405937,24.60856056,25.98411942,27.45988083,,
United Arab Emirates,ARE,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,0.6036,1.06778,1.60131,2.98705,3.48578,4.47213,5.85524,7.02927,8.25719,8.43519,8.05427,6.55557,6.55534,7.20616,6.458,6.12827,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,,,,,,,,,,13.39736,15.34446,16.39728,19.41104,22.43832,26.58357,26.73917,23.87453,21.29415,22.2412,21.83735,23.25911,24.01451,25.03296,28.88558,35.71831,37.61378,39.41441,,,,38.38254,,,36.85111,,,,46.01428,47.88291931,53.07049942,58.27671814,62.2298584,64.86004639,65.35836792,63.98480988,67.09056854,66.7280426,68.68689728,71.25093842,74.82965851,78.62610626,80.30780792,,,
Armenia,ARM,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5669,,18.79902,20.45327,23.24662,25.42109,25.40696,23.06499,19.11834,19.01829,16.8175,22.47459,33.10497,34.6208992,34.85655975,32.81435013,35.2394104,36.20652008,36.80102921,38.36914063,41.76501846,44.3221283,46.58058167,49.1195488,50.62446976,51.00141907,46.04359055,46.10861969,,
American Samoa,ASM,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81005001,16.2319603,14.36835957,23.48624039,,,
Australia,AUS,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,,,,,,,,,,15.76842,17.03279,18.30623,19.50227,21.71735,23.17725,23.9735,24.3401,24.68697,24.91366,25.07077,25.50537,25.56131,26.2742,26.90184,27.78528,29.35403,29.49504,31.27536,32.40578,35.08403,38.02008,39.41102,65.11077,66.53006,70.20863,74.98175,79.68812,67.26661,65.57697296,65.0253067,65.19178009,74.02366638,71.98738861,70.53540802,71.2420578,70.46399689,71.45716095,71.83235168,75.62999725,79.77162933,83.2434082,86.33409119,88.51281738,,
