Country,Code,Year,dummy,Law Prop.Rights,Sound Money,polity,prev Law,prev Money,prev polity,prev GDP,GDP per capita in USD
Gabon,GAB,1990,,4.96,5.43,-88,4.46,6.2,-9,4023.55,6250.64
Tunisia,TUN,2013,,5.57,6.86,-88,5.62,6.79,-88,4187.54,4309.99
Tunisia,TUN,2011,,5.79,6.8,-88,6.45,6.85,-4,4176.61,4298.09
Tunisia,TUN,2012,,5.62,6.79,-88,5.79,6.8,-88,4298.09,4187.54
Spain,ESP,1975,,5.07,5.73,-88,7.09,6.92,-7,1209,3221.59
Egypt,EGY,2012,,4.04,9.22,-88,4.55,9.07,-2,2816.67,3068.19
Portugal,PRT,1975,,1.36,5.58,-88,7.09,7.15,-9,934.17,2127.85
Fiji,FJI,2000,,5.99,6.9,-88,5.51,6.94,5,2540.75,2076.01
Peru,PER,2000,,3.94,8.79,-88,4.76,5.13,1,2162.76,1967.24
Guatemala,GTM,1985,,1.99,8.02,-88,2.54,8.95,-5,1106.77,1197.62
Haiti,HTI,2005,,2.66,7.99,-88,2.12,7.65,-88,387.94,465.31
Haiti,HTI,2004,,2.12,7.65,-88,2.49,6.87,-2,329.78,387.94
Sierra Leone,SLE,2001,,3.3,6.37,-88,3.3,6.47,-77,156.59,255.79
"Congo, Dem. R.",COD,2005,,2.05,5.04,-88,2.04,4.8,-88,189.59,213.31
"Congo, Dem. R.",COD,2004,,2.04,4.8,-88,2.02,4.36,-88,169.91,189.59
"Congo, Dem. R.",COD,2003,,2.02,4.36,-88,1.39,3.1,-77,171.23,169.91
Burundi,BDI,2001,,2.93,6.88,-88,2.93,6.19,-1,128.64,126.22
Burundi,BDI,2004,,2.67,6.92,-88,2.49,7.23,-88,106.02,119.46
Burundi,BDI,2002,,2.94,7.36,-88,2.93,6.88,-88,126.22,115.28
Burundi,BDI,2003,,2.49,7.23,-88,2.94,7.36,-88,115.28,106.02
Haiti,HTI,2013,,2.44,7.79,-77,2.36,7.12,-77,766.87,810.33
Haiti,HTI,2012,,2.36,7.12,-77,2.15,8.01,-77,740.95,766.87
Haiti,HTI,2011,,2.15,8.01,-77,2.12,8.03,-77,662.28,740.95
Haiti,HTI,2010,,2.12,8.03,-77,2.54,8.65,5,668.29,662.28
Mali,MLI,2012,,3.94,6.37,-77,4.44,6.61,7,680.83,641.79
"Congo, Dem. R.",COD,2000,,1.75,1.25,-77,1.49,0,-77,133.87,397.26
Central Afr. Rep.,CAF,2013,,2.09,6.88,-77,2.44,6.7,-1,469.68,326.44
"Congo, Dem. R.",COD,2002,,1.39,3.1,-77,1.75,2.5,-77,150.42,171.23
Burundi,BDI,1995,,4.59,5.83,-77,4.42,6.5,-7,201.69,160.35
Sierra Leone,SLE,2000,,3.3,6.47,-77,2.08,3.81,-7,226.89,156.59
"Congo, Dem. R.",COD,2001,,1.75,2.5,-77,1.75,1.25,-77,397.26,150.42
"Congo, Dem. R.",COD,1995,,1.49,0,-77,2.44,0,-8,267.42,133.87
Kuwait,KWT,1990,,2.73,7.51,-66,5.85,8.92,-8,12358.51,8950.6
Qatar,QAT,2013,,7.96,8.15,-10,8.01,7.94,-10,94407.41,96077
Qatar,QAT,2012,,8.01,7.94,-10,7.86,8.08,-10,89115.9,94407.41
Qatar,QAT,2011,,7.86,8.08,-10,7.53,7.95,-10,70870.23,89115.9
Saudi Arabia,SAU,2012,,7.35,7.7,-10,7.55,7.76,-10,23256.1,24883.19
