Country,Code,Year,polity,Size of Govt,Law & Prop.Rights,Sound Money,Export trade freedom,Regulations,Use of IMF credit (current USD) per capita,foreign net aid in USD per capita,GDP growth percent,GDP per capita in USD,Net secondary education enrollment,Gross tertiary education enrollment percent, Random seed
Burundi,BDI,1980,-7,4.53,4.67,5.56,0.33,4.84,8.65,28.10,-0.94,222.88,2.18,0.46,0.72
Burundi,BDI,1985,-7,4.68,4.25,6.27,2.07,5.23,3.05,28.73,3.72,240.87,2.69,0.59,0.92
Mozambique,MOZ,2004,5,4.74,2.93,8.63,6.24,5.51,17.85,60.56,8.79,332.88,4.04,1.14,0.39
Niger,NER,1990,-7,3.81,5.30,7.08,4.22,4.79,10.73,48.99,6.90,313.54,5.62,0.75,0.24
Niger,NER,2001,5,3.46,4.50,6.99,5.73,4.69,7.95,22.25,-0.57,167.09,5.63,,0.10
Niger,NER,2002,5,3.47,3.64,6.93,5.74,5.04,9.87,24.88,-1.41,179.74,5.84,,0.47
Niger,NER,2003,5,4.14,3.87,7.18,5.74,5.04,11.61,38.30,7.10,218.05,6.49,0.98,0.46
Mozambique,MOZ,2005,5,5.47,3.23,7.64,6.10,4.82,14.79,61.40,6.50,365.60,6.92,1.42,0.90
Chad,TCD,2000,-2,6.45,4.25,6.64,5.21,4.62,10.83,15.74,6.95,166.01,7.26,0.83,0.79
Niger,NER,2004,6,5.93,3.87,7.22,4.65,4.67,11.55,42.14,3.00,234.91,7.91,0.95,0.64
Chad,TCD,2001,-2,8.78,4.25,6.05,5.47,4.99,11.65,21.76,-0.68,197.30,8.41,0.83,0.14
Mozambique,MOZ,2006,5,4.75,3.93,7.52,6.11,5.34,7.98,75.41,7.81,382.38,8.80,,0.52
Niger,NER,2005,6,7.35,4.11,6.47,4.10,4.88,10.46,38.72,5.30,252.50,8.94,1.14,0.91
Niger,NER,2007,6,7.51,4.15,6.63,4.37,5.11,3.78,37.47,4.50,295.39,9.32,1.07,0.98
Chad,TCD,2002,-2,9.15,2.33,6.19,5.65,5.17,13.28,25.50,-0.88,220.80,9.61,,0.18
Niger,NER,2008,6,7.78,4.18,6.20,4.37,5.91,4.32,40.59,5.80,358.19,10.00,1.21,0.98
Niger,NER,2009,-3,7.69,4.24,6.50,4.37,6.05,9.92,29.94,3.15,344.38,10.17,1.45,0.64
Mozambique,MOZ,2007,5,4.68,3.85,7.75,6.37,5.58,8.38,79.45,8.72,418.91,10.43,,0.30
Chad,TCD,2003,-2,8.39,2.67,6.36,5.81,5.08,12.82,27.11,11.66,292.58,10.54,0.92,0.89
Central Afr. Rep.,CAF,2009,-1,7.06,2.05,7.05,4.67,5.49,37.16,55.49,4.61,454.37,10.78,2.49,0.73
Burkina Faso,BFA,2005,0,5.69,4.17,6.84,6.20,6.34,8.72,51.66,7.80,407.00,11.39,2.31,0.37
Niger,NER,2010,3,9.00,3.95,6.61,4.37,6.17,9.67,45.70,9.59,351.01,11.52,1.50,0.35
Mozambique,MOZ,2008,5,4.82,4.05,7.63,6.27,5.77,7.94,86.82,9.85,499.89,12.09,3.50,0.12
Niger,NER,2011,6,8.45,4.49,6.67,4.37,6.29,9.00,38.33,-0.71,378.20,12.20,1.55,0.11
Burkina Faso,BFA,2006,0,5.84,4.20,6.80,6.04,6.34,3.55,65.16,4.48,422.48,12.21,2.44,0.54
Guatemala,GTM,1980,-5,7.72,2.54,8.95,5.47,6.95,0.00,10.20,5.00,1106.77,12.67,,0.24
Burkina Faso,BFA,2007,0,5.09,4.50,7.29,5.86,6.91,3.67,66.63,8.66,474.71,12.92,2.61,0.83
Burundi,BDI,2009,6,5.32,3.11,6.78,4.87,7.40,22.62,61.43,4.79,190.39,13.00,2.72,0.82
Uganda,UGA,2000,-4,6.73,4.80,9.30,6.99,6.21,14.92,35.92,4.91,260.68,13.53,2.59,0.46
Cameroon,CMR,1980,-8,8.37,5.78,5.66,4.09,5.16,6.58,29.64,22.00,754.66,13.87,1.77,0.51
Uganda,UGA,2001,-4,6.20,4.80,9.33,8.28,6.29,12.73,33.51,8.05,238.05,13.87,2.80,0.66
Central Afr. Rep.,CAF,2012,-1,7.00,2.44,6.70,4.54,5.83,39.59,49.19,3.05,469.68,13.92,2.84,0.31
Mauritania,MRT,2005,-5,8.00,5.56,7.36,5.98,6.43,26.39,59.83,5.98,692.58,14.23,2.93,0.25
Central Afr. Rep.,CAF,2011,-1,6.99,2.61,6.76,4.69,5.55,37.97,59.32,1.71,484.58,14.25,3.05,0.98
Mauritania,MRT,2006,-3,6.36,5.63,7.09,6.09,6.58,4.51,69.59,5.75,937.98,14.43,3.30,0.60
Mozambique,MOZ,2009,5,4.74,4.26,6.53,6.27,5.83,14.45,85.10,7.43,461.43,14.51,3.80,0.57
Burkina Faso,BFA,2008,0,4.97,4.61,6.64,5.95,7.17,4.68,68.06,6.25,569.01,14.78,3.18,0.72
Burundi,BDI,2010,6,4.41,2.98,7.01,4.94,6.96,23.61,66.58,5.05,214.23,15.08,3.17,0.69
Uganda,UGA,2005,-1,7.54,4.67,8.70,6.39,7.92,6.17,42.51,6.47,321.44,15.10,,0.43
Uganda,UGA,2004,-4,7.52,4.54,9.05,7.12,6.92,8.75,44.85,8.73,292.84,15.38,3.56,0.07
Burkina Faso,BFA,2009,0,4.89,4.42,6.75,5.98,7.19,13.23,71.35,5.66,551.84,15.82,3.53,0.00
Uganda,UGA,2003,-4,7.60,4.73,8.76,7.59,6.69,10.67,38.05,5.18,241.69,15.92,3.69,0.13
Uganda,UGA,2002,-4,7.21,4.23,9.20,7.46,6.43,11.71,28.61,3.14,243.67,16.01,3.46,0.36
Mozambique,MOZ,2010,5,5.19,4.23,5.86,6.51,5.96,14.69,80.24,6.88,417.50,16.03,4.56,0.60
Senegal,SEN,2004,8,6.30,3.88,7.10,6.49,5.37,22.08,97.53,0.65,732.32,16.23,5.14,0.23
Burkina Faso,BFA,2010,0,4.82,4.33,6.87,6.06,7.56,13.91,67.96,7.29,574.46,16.48,3.58,0.00
Uganda,UGA,2006,-1,7.52,4.62,8.80,6.93,8.15,1.84,54.70,6.81,342.84,16.51,3.46,0.93
