Country,Code,Year,Size of Govt,Law & Prop.Rights,Sound Money,Export trade freedom,Regulations,polity,anarchy,transition,occupation,democ,autoc,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,prev Govt size,prev Law,prev Money,prev Export trade,prev Regulations,prev polity,prev democ,prev autoc,prev GDP,Population total,Use of IMF credit (current USD) per capita,foreign net aid in USD per capita,Industry value added (percent of GDP),Research and development expenditure (percent of GDP),Start-up procedures to register a business (number),Inflation in consumer prices (annual percent),Lead time to import median case in days,Logistics performance index,Lead time to export median case in days,Income share held by highest ten percent,Cereal yield kg per hectare,Total debt service as percent of exports of goods services and primary income,Military expenditure percent of central government expenditure,Lending interest rate percent,Employment to population ratio total percent,Agriculture percent of GDP,Tax revenue percent of GDP,High-technology exports percent of manufactured exports,Urban population (% of total),Energy use kg of oil equivalent per capita,Life expectancy at birth total in years,GDP per person employed constant 1990 PPP,Birth rate per 1000 people,Population growth annual percent,Time required to start a business in days,Employment in agriculture (percent of total employment),GDP growth percent,GDP per capita in USD,Net secondary education enrollment,Gross tertiary education enrollment percent,EU member,Informal payments to public officials (percent of firms),CPIA Public sector management quality,Fuel exports (% of merchandise exports),, Random seed
Angola,AGO,2005,3.720000,3.150000,1.260000,6.220000,4.700000,-2.000000,0.000000,0.000000,0.000000,2.000000,4.000000,2.000000,1.000000,4.000000,3.000000,3.000000,4.000000,3.000000,3.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17912942.000000,21.783301,23.143602,,,12.000000,22.963744,,,,,583.257000,10.753407,17.729368,67.718131,65.500000,,20.155211,,36.169000,509.923440,48.538805,3025.000000,49.592000,3.507712,83.000000,,,2063.922202,,2.962680,0.000000,,2.400000,,,0.351222
Angola,AGO,2006,3.480000,3.160000,4.060000,6.160000,5.310000,-2.000000,0.000000,0.000000,0.000000,2.000000,4.000000,2.000000,1.000000,4.000000,3.000000,3.000000,4.000000,3.000000,3.000000,8.000000,3.720000,3.150000,1.260000,6.220000,4.700000,-2.000000,2.000000,4.000000,2063.922202,18541467.000000,22.151106,8.819151,,,12.000000,13.303253,,,,,445.909000,13.222748,19.763030,19.510814,65.099998,,27.516906,,36.942000,542.108669,49.007049,3510.000000,49.259000,3.448621,83.000000,,,2825.073490,,2.898270,0.000000,46.800000,2.400000,,,0.995836
Angola,AGO,2007,3.920000,3.170000,4.450000,6.120000,5.580000,-2.000000,0.000000,0.000000,0.000000,2.000000,4.000000,2.000000,1.000000,4.000000,3.000000,3.000000,4.000000,3.000000,3.000000,8.000000,3.480000,3.160000,4.060000,6.160000,5.310000,-2.000000,2.000000,4.000000,2825.073490,19183907.000000,22.488745,12.910300,,,12.000000,12.248676,10.600000,2.480000,7.900000,,464.259000,9.905500,14.954764,17.698836,64.599998,,23.648051,,37.722000,561.550106,49.435732,4232.000000,48.888000,3.406207,83.000000,,,3402.145980,,,0.000000,,2.400000,,,0.013006
Angola,AGO,2008,3.970000,3.340000,5.030000,5.010000,5.390000,-2.000000,0.000000,0.000000,0.000000,2.000000,4.000000,2.000000,1.000000,4.000000,3.000000,3.000000,4.000000,3.000000,3.000000,8.000000,3.920000,3.170000,4.450000,6.120000,5.580000,-2.000000,2.000000,4.000000,3402.145980,19842251.000000,21.192505,18.587609,,,8.000000,12.473713,,,,32.310000,652.745000,2.522401,15.961743,12.533606,64.300003,,28.988563,,38.509000,589.420122,49.847390,4702.000000,48.473000,3.374180,68.000000,,,4462.125351,10.969720,,0.000000,,2.400000,,,0.591041
Angola,AGO,2009,6.050000,3.690000,5.240000,5.810000,4.530000,-2.000000,0.000000,0.000000,0.000000,2.000000,4.000000,2.000000,1.000000,4.000000,3.000000,3.000000,4.000000,3.000000,3.000000,8.000000,3.970000,3.340000,5.030000,5.010000,5.390000,-2.000000,2.000000,4.000000,4462.125351,20520103.000000,38.355412,11.632983,,,8.000000,13.731451,,,,,571.413000,8.548405,18.463661,15.682074,64.599998,,19.777583,,39.299000,620.638746,50.251024,4661.000000,48.018000,3.359149,68.000000,,,3565.181589,11.512490,,0.000000,,2.400000,,,0.630484
Angola,AGO,2010,5.370000,3.740000,5.570000,6.190000,5.960000,-2.000000,0.000000,0.000000,0.000000,2.000000,4.000000,2.000000,1.000000,4.000000,3.000000,3.000000,4.000000,3.000000,3.000000,8.000000,6.050000,3.690000,5.240000,5.810000,4.530000,-2.000000,2.000000,4.000000,3565.181589,21219954.000000,61.369690,11.226697,,,8.000000,14.470541,8.000000,2.250000,6.000000,,629.311000,4.478604,16.287395,22.543572,64.900002,,19.333596,,40.097000,639.228247,50.654171,4660.000000,47.529000,3.353693,66.000000,,,3928.824514,13.464040,,0.000000,48.900000,2.400000,,,0.541280
Angola,AGO,2011,4.970000,3.650000,5.670000,6.210000,5.640000,-2.000000,0.000000,0.000000,0.000000,2.000000,4.000000,2.000000,1.000000,4.000000,3.000000,3.000000,4.000000,3.000000,3.000000,8.000000,5.370000,3.740000,5.570000,6.190000,5.960000,-2.000000,2.000000,4.000000,3928.824514,21942296.000000,73.188376,8.852765,,,8.000000,13.467015,,,,,662.369000,4.176977,12.206593,18.757241,65.000000,,18.726109,,40.900000,630.491631,51.059317,4688.000000,47.018000,3.347413,66.000000,,,5053.738649,,7.495040,0.000000,,2.300000,,,0.290131
Angola,AGO,2012,4.930000,3.370000,6.560000,6.140000,5.810000,-2.000000,0.000000,0.000000,0.000000,2.000000,4.000000,2.000000,1.000000,4.000000,3.000000,3.000000,4.000000,3.000000,3.000000,8.000000,4.970000,3.650000,5.670000,6.210000,5.640000,-2.000000,2.000000,4.000000,5053.738649,22685632.000000,76.685234,10.682973,,,8.000000,10.293494,,2.280000,,,552.176000,5.834018,13.802464,16.656401,65.099998,,17.321618,,41.699000,629.569632,51.464000,4774.000000,46.499000,3.331567,66.000000,,,5531.776299,,,0.000000,,2.300000,,,0.234629
Angola,AGO,2013,5.340000,3.210000,6.720000,5.930000,5.670000,-2.000000,0.000000,0.000000,0.000000,2.000000,4.000000,2.000000,1.000000,4.000000,3.000000,3.000000,4.000000,3.000000,3.000000,8.000000,4.930000,3.370000,6.560000,6.140000,5.810000,-2.000000,2.000000,4.000000,5531.776299,23448202.000000,63.058055,12.265759,,,8.000000,8.776091,,,,,814.774000,6.988659,,15.808638,65.099998,,,,42.490000,,51.866171,4854.000000,45.985000,3.306205,66.000000,,,5900.529570,,,0.000000,,2.300000,,,0.401287
Albania,ALB,1995,6.540000,4.850000,3.260000,5.900000,4.570000,5.000000,0.000000,0.000000,0.000000,6.000000,1.000000,3.000000,3.000000,4.000000,5.000000,3.000000,3.000000,8.000000,5.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3187784.000000,20.239452,56.653776,22.497942,,,7.793219,,,,,2841.457000,2.773223,8.217389,19.650000,53.299999,55.812145,13.422768,,38.911000,417.034843,72.236024,7445.000000,22.490000,-0.617704,,,9.600000,760.559376,,9.091730,0.000000,,,,,0.423994
